12.33, 143452, Marketplace 1 Madis Moon 3, 73d
11.94, 201981, Marketplace 1 Madis Moon 3, 73d
12.33, 200003, Marketplace 1 Sinnen Moon 1, 73d
11.94, 201981, Marketplace 1 Sinnen Moon 1, 73d
12.50, 159573, Marketplace 1 Sinnen Moon 1, 73d
12.24, 200035, Marketplace 1 Sinnen Moon 1, 73d
11.67, 200444, Marketplace 1 Sinnen Moon 1, 73d
11.94, 72987, Marketplace 1 Talemai Moon 1, 73d
11.67, 200444, Marketplace 1 Talemai Moon 1, 73d
11.67, 200444, Marketplace 1 Talemai Moon 2, 73d
12.50, 167054, Marketplace 1 Talemai Moon 2, 73d
12.33, 200003, Marketplace 1 Talemai Moon 2, 73d
12.24, 200035, Marketplace 1 Talemai Moon 2, 73d
11.94, 201981, Marketplace 1 Talemai Moon 2, 73d
12.50, 26699, Marketplace 1 Talemai Moon 3, 73d
12.33, 200003, Marketplace 1 Talemai Moon 3, 73d
11.67, 200444, Marketplace 1 Talemai Moon 3, 73d
11.94, 201981, Marketplace 1 Talemai Moon 3, 73d
12.24, 200035, Marketplace 1 Talemai Moon 3, 73d
11.94, 41015, Marketplace 1 Thades Moon 2, 73d
11.67, 196056, Marketplace 1 Thades Moon 2, 73d
13, 10000, Marketplace 11 Sanctuary, 77d
12.50, 118352, Marketplace 11 Sanctuary, 73d
10, 5000, Marketplace 11 Sanctuary, 7d
12.24, 200035, Marketplace 11 Sanctuary, 73d
11.94, 201981, Marketplace 11 Sanctuary, 73d
16.01, 33103, Marketplace 11 Sanctuary, 89d
11.67, 200444, Marketplace 11 Sanctuary, 73d
0.10, 100000, Marketplace 11 Sanctuary, 89d
16, 6162, Marketplace 11 Sanctuary 88, d
12.33, 199543, Marketplace 11 Sanctuary, 73d
16.02, 97829, Marketplace 11 Sanctuary, 30d
12.50, 23659, Marketplace 12 Sanctuary Moon, 73d
11.94, 201981, Marketplace 12 Sanctuary Moon, 73d
11.67, 200444, Marketplace 12 Sanctuary Moon, 73d
13.01, 99365, Marketplace 12 Sanctuary Moon, 30d
13, 26226, Marketplace 12 Sanctuary Moon, 5d
12.33, 199683, Marketplace 12 Sanctuary Moon, 73d
12.24, 200035, Marketplace 12 Sanctuary Moon, 73d
11.94, 201981, Marketplace 13 Sanctuary Moon, 73d
12.33, 173392, Marketplace 13 Sanctuary Moon, 73d
12.24, 199875, Marketplace 13 Sanctuary Moon, 73d
15, 99490, Marketplace 13 Sanctuary Moon, 30d
11.67, 200444, Marketplace 13 Sanctuary Moon, 73d
12.50, 10371, Marketplace 14 Sanctuary Moon, 73d
15, 99880, Marketplace 14 Sanctuary Moon, 30d
12.33, 200003, Marketplace 14 Sanctuary Moon, 73d
11.94, 201981, Marketplace 14 Sanctuary Moon, 73d
12.30, 5000, Marketplace 14 Sanctuary Moon, 23d
12.24, 199975, Marketplace 14 Sanctuary Moon, 73d
11.67, 200444, Marketplace 14 Sanctuary Moon, 73d
12.33, 192966, Marketplace 15 Sanctuary Moon, 73d
11.67, 200444, Marketplace 15 Sanctuary Moon, 73d
12.41, 105, Marketplace 15 Sanctuary Moon, 6d
12.40, 6523, Marketplace 15 Sanctuary Moon, 6d
11.94, 201981, Marketplace 15 Sanctuary Moon, 73d
12.24, 199775, Marketplace 15 Sanctuary Moon, 73d
11.67, 200444, Marketplace 16 Sanctuary Moon, 73d
12.35, 73921, Marketplace 16 Sanctuary Moon, 89d
12.33, 166177, Marketplace 16 Sanctuary Moon, 73d
12.24, 200035, Marketplace 16 Sanctuary Moon, 73d
11.94, 201981, Marketplace 16 Sanctuary Moon, 73d
15, 96626, Marketplace 16 Sanctuary Moon, 30d
12.40, 15173, Marketplace 16 Sanctuary Moon, 6d
12.33, 192751, Marketplace 17 Sanctuary Moon, 73d
10, 10000, Marketplace 17 Sanctuary Moon, 7d
11.94, 201981, Marketplace 17 Sanctuary Moon, 73d
11.67, 200444, Marketplace 17 Sanctuary Moon, 73d
19.11, 395551, Marketplace 17 Sanctuary Moon, 30d
12.24, 196117, Marketplace 17 Sanctuary Moon, 73d
12.33, 200003, Marketplace 18 Sanctuary Moon, 73d
12.51, 1670, Marketplace 18 Sanctuary Moon, 4d
12.24, 200035, Marketplace 18 Sanctuary Moon, 73d
15, 97640, Marketplace 18 Sanctuary Moon, 30d
11.94, 201981, Marketplace 18 Sanctuary Moon, 73d
11.67, 200444, Marketplace 18 Sanctuary Moon, 73d
12.52, 33689, Marketplace 18 Sanctuary Moon, 27d
12.50, 54939, Marketplace 18 Sanctuary Moon, 73d
15, 665, Marketplace 19 Sanctuary Moon, 7h
15.01, 100000, Marketplace 19 Sanctuary Moon, 30d
